ID,Title,Authors,Venue,Venue Acronym,Venue Type,Year,I1,I2,I3,E1,E2,E3,E4,E5,E6,Included,Notes
S2IRVNC6,A study of energy-aware implementation techniques: Redistribution of computational jobs in mobile apps,"Corral, Luis; Georgiev, Anton B.; Sillitti, Alberto; Succi, Giancarlo",Sustainable Computing: Informatics and Systems,,,2015,x,x,x,,,,,,,x,Paper proposes Method Reallocation which refers to the placement of pieces of code in different execution scopes within a single target and Method Offloading which refers to the placement of pieces of code in external resources in different scopes (for instance a remote server).
KSR7NJ2X,A study of the energy consumption of databases and cloud patterns,"Bani, Béchir; Khomh, Foutse; Guéhéneuc, Yann-Gaël",International Conference on Service-Oriented Computing,,,2016,x,x,x,,,,,,,x,"Paper investigates the energy consumption of three different databases, MySQL, PostgreSQL, and MongoDB in combination of cloud patterns. It finds that MySQL is the most energy efficient database regardless of any cloud patterns implemented."
BCQZ7HPF,A Study on Energy Efficient Data Compression Techniques for Wireless Sensor Networks,"Shabaz, Er Mohammad",,,,,x,x,,x,,,,,,,"Paper proposes data compression protocols, however they do so at a protocol domain, outside of the domain of software engineers."
ZFG7LTVR,A survey and taxonomy of energy efficient resource management techniques in platform as a service cloud,"Piraghaj, Sareh Fotuhi; Dastjerdi, Amir Vahid; Calheiros, Rodrigo N.; Buyya, Rajkumar",Handbook of Research on End-to-End Cloud Computing Architecture Design,,,2017,,,,,,x,,,,,"Book, not peer reviewed."
VYB963CV,A survey and taxonomy on energy efficient resource allocation techniques for cloud computing systems,"Hameed, Abdul; Khoshkbarforoushha, Alireza; Ranjan, Rajiv; Jayaraman, Prem Prakash; Kolodziej, Joanna; Balaji, Pavan; Zeadally, Sherali; Malluhi, Qutaibah Marwan; Tziritas, Nikos; Vishnu, Abhinav",Computing,,,2016,x,x,,x,,,,,,,Paper reviews resource allocation techniques only from the perspective of a cloud provider.
VQXMJP4P,"A survey of different techniques for energy-efficient, reliability and fault tolerant in wireless sensor networks","Raji, Kamaldeen Ayodele; Gbolagade, Kazeem Alagbe",Int. J. Wirel. Commun. Mobile Comput,,,2019,x,x,,x,,,,,,,"Techniques to improve fault tolerance and thus, energy efficiency in WSN."
Z884YARZ,A survey of emerging architectural techniques for improving cache energy consumption,"Bhebhe, Washington; Opoku Agyeman, Michael",Communications on Applied Electronics,,,2016,,,,x,,,,,,,Paper reviews cache level optimization techniques not related to the application software  level or the utility software level.
8JIFULS9,A survey of energy-aware real time scheduling tools,"Ahmad, Idawaty","Proceedings of the 3rd International Conference on Green Computing, Technology and Innovation (ICGCTI’15)",,,2015,x,x,,x,,,,,,,"Paper proposes energy efficiency monitoring software for real time scheduling. However, real time scheduling is implemented at the OS level."
L2GINCMS,A survey of power and energy efficient techniques for high performance numerical linear algebra operations,"Tan, Li; Kothapalli, Shashank; Chen, Longxiang; Hussaini, Omar; Bissiri, Ryan; Chen, Zizhong",Parallel Computing,,,2014,x,x,,,,,,,,,"Paper reviews energy efficient techniques in HCP. Paper reviews a technique where process scheduling is done within the application via power-aware component APIs as user-driven internal control. However, the paper cited propoes an experimental framework for application-level power measurement and optimization. However, since the paper is in HCP, it falls outside of the standard application range."
EB7U7M2W,A survey of techniques for improving energy efficiency in embedded computing systems,"Mittal, Sparsh",International Journal of Computer Aided Engineering and Technology,,,2014,x,x,,x,,,,,,,"Paper reviews an energy efficiency technique that proposes the usage of application scenarios i.e. a detectable set of operation modes of an application that are sufficiently similar in a multi-dimensional resource-based cost space. Based on these scenarios, the appliaciton can enter different operation modes that can improve energy efficiency. However, this paper falls outside of the standard application range. "
2EL875TH,A survey on energy consumption oriented program test and analysis technology and tools,"Fu, Cuijiao; Qian, Depei; Huang, Tianming; Luair, Zhongzhi",Proceedings of the International Conference on Scientific Computing (CSC),,,2019,x,x,x,,,,,,x,,Paper proposes source-code level energy efficiency tactics. Paper not available.
KKETMCZQ,A survey on energy-efficient routing techniques with QoS assurances for wireless multimedia sensor networks,"Ehsan, Samina; Hamdaoui, Bechir",IEEE Communications Surveys & Tutorials,,,2011,x,x,,x,,,,,,,Paper proposes energy efficiency techniques at the routing level.
MFXPEH6U,A survey on green computing techniques,"Choudhary, Sonu",International Journal on Computer Science and Information Technology,,,2014,x,x,,x,,,,,,,"Paper mentions software optimization as an energy efficiency tactic, but does not review any techniques for optimization of software at the application level, nor does it cite any papers that do."
APHIN8NJ,A survey on power aware virtual machine placement strategies in a cloud data center,"Ranjana, R.; Raja, J.","2013 International Conference on Green Computing, Communication and Conservation of Energy (ICGCE)",,,2013,x,x,,,,,,,,,Paper reviews VM placement algorithms from the perspective of a cloud provider.
HLPKKQAI,A systematic literature review of case-based reasoning based on eco-design strategies for environmental product design,"Wahab, Marziah Abdul; Romli, Awanis; Mubarak-Ali, Al-Fahim; Majid, Mazlina Abdul",Advanced Science Letters,,,2017,,,,x,,,,,,,Not SE related by title.
64KPCGU5,Adapting wireline logging tools for environmental logging applications,"Ellis, Darwin V.; Perchonok, R. A.; Scott, H. D.; Stoller, C.",SPWLA 36th Annual Logging Symposium,,,1995,,,,x,,,,,,,Not SE related by title.
F966JIFL,Adaptive link layer strategies for energy efficient wireless networking,"Lettieri, Paul; Schurgers, Curt; Srivastava, Mani",Wireless Networks,,,1999,,,,x,,,,,,,Paper focuses on energy efficiency tactics at the network level.
76WAMJPR,"An Application of Systems Science for the Usage of Web–tools in Environmental Education: The Case of Western Attica, Greece","Mavrakis, Anastasios; Papakitsos, Evangelos C.; Papapanousi, Christina; Papavasileiou, Christina",Journal of Research Initiatives,,,2019,,,,x,,,,,,,Not SE related by title.
5XNPRWPY,An Approach Towards Efficient Energy Distribution and Power Flow Management in Smart Grid using Various Meta Heuristic Techniques,"Shafiq, Sundus",,,,2018,,,,x,,,,,,,Not SE related by abstract.
RL4Q2U3X,An Automated Code Optimizer of Design Patterns for Reducing Energy Usage in Green Computing,"Din, Jamilah; Wei, Ooi Chiew; Jasser, Muhammed Basheer",International Journal of Engineering & Technology,,,2018,x,x,x,,,,,,,x,Paper proposes a tool to automate the optimization of software design patterns.
I8Z8JPLN,An energy efficiency grading system for mobile applications based on usage patterns,"Baek, Dusan; Park, Jae-Hyeon; Lee, Jung-Won",The Journal of Supercomputing,,,2018,x,x,,x,,,,,,,Paper proposes an application grading system based on energy efficency metrics. This paper however is written to help the end user identify applications that are enrgy efficient
H8Z77A75,An Energy-Efficient Concurrency Control Method for Mobile Transactions with Skewed Data Access Patterns in Wireless Broadcast Environments,"Jung, Sung-Won; Park, Sung-Geun; Choi, Keun-Ha",Journal of KIISE: Databases,,,2006,,,,,,,x,,,,Paper not in English.
YFDZZ24X,An improvement of Energy Efficient Multipath Routing Node Management Techniques for MANET,"Saradha, R. Rajeshkanna1 DrA",,,,,,,,x,,,,,,,Paper proposes energy efficiency techniques at the routing level.
74IU4ICG,An incremental shift to the ecological approach of obesity prevention: Extension nutrition managers' use of environmental strategies,"Lu, Angela",,,,2012,,,,x,,,,,,,Not SE related by title.
45MIIFDN,An Overview on Implicit Green Business Process Patterns,"Nowak, Alexander; Leymann, Frank","Universität Stuttgart, Institut für Architektur von Anwendungssystemen",,,2013,,,,x,,,,,,,Not SE related by title.
NEG9D9ZD,Analysis of energy consumption and optimization techniques for writing energy-efficient code,"Corral-García, Javier; Lemus-Prieto, Felipe; González-Sánchez, José-Luis; Pérez-Toledano, Miguel-Ángel",Electronics,,,2019,x,x,x,,,,,,,x,Proposes twenty-five techniques for writing energy-efficient code for Raspberry Pi boards.
GDCFGFNG,Analysis of Energy Efficiency for Code Refactoring Techniques,"Park, Jae-jin; Kim, Doohwan; Hong, Jang Eui",KIPS Transactions on Software and Data Engineering,,,2014,,,,,,,x,,,,Paper not in English.
6LBE9HCJ,Analysis of energy efficient data mining techniques in wireless sensor networks: A review,"Talmale, Roshani; Ramaraj, N.; Thakare, Nita",2017 2nd International Conference for Convergence in Technology (I2CT),,,2017,x,x,,x,,,,,,,"Presents several data mining techniques in WSNs. However, the paper focuses more on how to make information passing between nodes more energy efficient. As such, the techniques of this paper center around the routing level, and the phyisical positioning of nodes in the network for energy efficiency."
TWCATIEK,Analyzing green software strategies within a service design process,"Fernandez, ON Condori; Lago, P.",EnviroInfo: From Science to Society: The Bridge provided by Environmental Informatics,,,2017,,x,x,,,,,,,,"Proposes incorporating green goals into the service based architecture design process. These green goals can be either green in software, where the main goal is to increase the energy efficiency of software, or green by software, in which software is used to achieve more environmentally friendly systems in other domains. Hence, since we are lonly looking for papers that improve energy efficiency, this paper would be outside of the scope."
8MGR82XA,Anti-patterns and the energy efficiency of Android applications,"Morales, Rodrigo; Saborido, Ruben; Khomh, Foutse; Chicano, Francisco; Antoniol, Giuliano",arXiv preprint arXiv:1610.05711,,,2016,x,x,x,,,,,,,x,"Note: This paper itself is not peer reviewed. However it is mentioned in it that it is part of another more overarching paper. I will include the peer reviewed, overarching paper over this one. Paper presents a set of anti-patterns and their relation to the energy consumption of an application. They then describe a set of refactorings to eliminate those anti-patterns that result in energy efficient software."
XY5NF3MV,Application of intelligent agents and case based reasoning techniques for green software development,"Jnr, Bokolo Anthony; Majid, Mazlina Abdul; Romli, Awanis",TTEM,,,2017,,x,x,,,,,,,,"Paper proposes a case based reasoning and intelligent agent approach to improve the energy efficiency of software development practices. The authors propose a technique to search for similar green software cases that might be applicable to the developer's context. This might be outside of the application/utility software layer. However, the paper focuses on more than just energy efficiency, but on green sourcing, and disposal, which is outside of the scope of this paper."
HQWZ7PPL,Applying genotoxicology tools to identify environmental stressors in support of river management,"Oberholster, Paul J.; Hill, Liesl; Jappie, Shaamiela; Truter, Johannes C.; Botha, Anna-Maria",Chemosphere,,,2016,,,,x,,,,,,,Not SE related based on title.
JL65TSWG,Architectural Tactics for Energy Efficiency: Review of the Literature and Research Roadmap,"Paradis, Carlos; Kazman, Rick; Tamburri, Damian Andrew",,,,2021,x,x,x,,,,,,,x,Paper presents a review of several efficiency tactics and how they can be implemented in real case scenarios.
65UJCCHP,Architectural Tactics for Energy-Aware Robotics Software: A Preliminary Study,"Chinnappan, Katerina; Malavolta, Ivano; Lewis, Grace A.; Albonico, Michel; Lago, Patricia",European Conference on Software Architecture,,,2021,x,x,,x,,,,,,,"Paper mines the ROS ecosystem to extract software tactics for the implementatiion of energy efficiency robotics software. Because of the interplay between application and OS level software in robotics, not sure if this paper can be included based on the inclusion and exclusion criteria"
8EJWT4H4,Architectural techniques for improving the power consumption of noc-based cmps: A case study of cache and network layer,"Ofori-Attah, Emmanuel; Bhebhe, Washington; Agyeman, Michael Opoku",Journal of Low Power Electronics and Applications,,,2017,,,,x,,,,,,,Not SE related based on title.
GD8BNILB,Assessment of lean and green strategies by simulation of manufacturing systems in discrete production environments,"Diaz-Elsayed, Nancy; Jondral, Annabel; Greinacher, Sebastian; Dornfeld, David; Lanza, Gisela",CIRP Annals,,,2013,,,,x,,,,,,,Not SE related based on title.
PS6Q2HGI,Big data analytics with graphical techniques applied to environmental control,"Loredana, Boca Maria; Manuella, Kadar",,,,,,,,x,,,,,,,Not SE related based on title.
HG2YL2IX,Blended Learning: Concepts and Frameworks and Tools for Environmental Education.,"Pitner, Tomás; Rácek, Jaroslav",EnviroInfo,,,2005,,,,x,,,,,,,Not SE related based on title.
VMSV74IQ,Boosting Energy Efficiency and Quality of Service through Orchestration Tools,"Carrega, Alessandro; Portomauro, Giancarlo; Repetto, Matteo; Robino, Giorgio",IEEE Cloud Computing,,,2018,x,x,,x,,,,,,,Paper presents an energy efficient infrastructure approach and VM migration techniques only from the perspective of a cloud provider.
XZULKL7X,Bridging the gaps between design and use: developing appropriate tools for environmental management and policy,"McIntosh, Brian; Voinov, Alexey; Giupponi, Carlo",,,,2006,,,,x,,,,,,,Not SE related based on title.
586SV3A9,Bridging the gaps between design and use: developing tools to support environmental management and policy,"McIntosh, B. S.; Giupponi, C.; Voinov, A. A.; Smith, C.; Matthews, K. B.; Monticino, M.; Kolkman, M. J.; Crossman, N.; Van Ittersum, M.; Haase, D.",Developments in integrated environmental assessment,,,2008,,,,x,,,,,,,Not SE related based on title.
S5AP9PKU,Building energy consumption models based on smartphone user’s usage patterns,"Neto, Antonio Sa Barreto; Farias, Felipe; Mialaret, Marco Aurelio Tomaz; Cartaxo, Bruno; Lima, Priscila Alves; Maciel, Paulo",Knowledge-Based Systems,,,2021,x,x,,x,,,,,,,"Focuses on establishing a methodology to create automatic mechanisms to build energy consumption models for smartphones based on the users' usage that can be used by application developers and autonomous optimizers. However, they are not creating the automatic mechanisms themselves, but the methology. As such, this research falls outside of the application software level."
IRN3T887,Calibration Techniques for Securing Web Application in Dual Delegation Interoperability Network Model with Green Communication,"Rasheed, Bilal Hikmat; Ahamed, B. Bazeer",Journal of Green Engineering,,,2020,,,,x,,,,,,,Not SE related based on title.
2QYPXQHA,Changing Energy Consumption Patterns Based on Multi-Agent Human Behavior Modeling for Analyzing the Effects of Feedback Techniques,"Alrizq, Mesfer; de Doncker, Elise; Fong, Alvis",2019 IEEE Power and Energy Conference at Illinois (PECI),,,2019,,,,x,,,,,,,Not SE related based on title.
JSELEL6Q,Cloud load balancing techniques: A step towards green computing,"Kansal, Nidhi Jain; Chana, Inderveer",IJCSI International Journal of Computer Science Issues,,,2012,x,x,,x,,,,,,,Paper finds that none of the load balancing techniques focus on energy-efficiency. Paper is also mostly writen from the perspective of a data center.
YSIMT54X,Clustering Techniques for Energy Efficient Wireless Communication,"Sucasas, Victor; Marques, Hugo; Rodriguez, Jonathan; Tafazolli, Rahim",Green Communication in 4G Wireless Systems,,,2013,,,,,x,,,,,,Editorial
XJGWNILT,Code Generation Techniques for the Optimized Energy Consumption,"Ko, Kwang-Man; So, Kyoung-Young",The Journal of the Korea Contents Association,,,2008,,,,,,,x,,,,Paper not in English.
XU9YC55Q,Code refactoring techniques based on energy bad smells for reducing energy consumption,"Lee, Jae-Wuk; Kim, Doohwan; Hong, Jang-Eui",KIPS Transactions on Software and Data Engineering,,,2016,,,,,,,x,,,,Paper not in English.
9YJ746AG,Code refactoring techniques for reducing energy consumption in embedded computing environment,"Kim, Doohwan; Hong, Jang-Eui; Yoon, Ilchul; Lee, Sang-Ho",Cluster computing,,,2018,x,x,,x,,,,,,,"Paper proposes to identify energy consuming code construccions as suspicios for energy consumption, and propose tactics to refactor the code. However, this paper since it only targets embedded systems, falls outside of the standard application range."
XBNH9NN5,Code-level Optimization for Program Energy Consumption,"Fu, Cuijiao; Qian, Depei; Huang, Tianming; Luan, Zhongzhi",,,,,x,x,x,,,,,,,x,Paper proposes eliminating the dead write from code to incresase energy efficiency in application software.
ZIMVHF96,Comparative analysis of chosen environmental data presentation techniques in a browser’s window on the example of air quality monitoring,"Król, Karol; Zuśka, Zbyszek",Acta Scientiarum Polonorum. Formatio Circumiectus,,,2017,,,,x,,,,,,,Not SE related based on title.
DT72XLKX,Comparative Analysis of the Power Consumption Techniques in the Cloud Computing Environment,"Nagpal, Sameer; Dahiya, Neeraj; Dalal, Surjeet",Journal Homepage: http://www. ijmra. us,,,2018,x,x,,x,,,,,,,Paper proposes several VM migration and DVFS algorithms from the perspective of cloud providers and hardware manufacturers.
WP3YJITY,Comparison of compressor control strategies for energy efficient refrigerated counters,"Jensen, Jonas Kjær; Kærn, Martin Ryhl; Pedersen, Per Henrik; Markussen, Wiebke B.",International Journal of Refrigeration,,,2021,,,,x,,,,,,,Not SE related based on title.
8MQ26TSP,"Comprehensive review of retinal blood vessel segmentation and classification techniques: intelligent solutions for green computing in medical images, current challenges, open issues, and knowledge gaps in fundus medical images","Abdulsahib, Aws A.; Mahmoud, Moamin A.; Mohammed, Mazin Abed; Rasheed, Hind Hameed; Mostafa, Salama A.; Maashi, Mashael S.",Network Modeling Analysis in Health Informatics and Bioinformatics,,,2021,,,,x,,,,,,,Not SE related based on title.
TXBI4TDY,CompTox chemicals dashboard: Data and tools to support chemical and environmental risk assessment and the ENTACT project,"Williams, Antony; Grulke, Christopher; McEachran, Andrew; Schymanski, Emma; Sobus, Jon; Ulrich, Elin; Richard, Ann; Dunne, Jeremy; Edwards, Jeff",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,,2019,,,,x,,,,,,,Not SE related based on title.
8RWPJ8WN,Computer architecture techniques for power-efficiency,"Kaxiras, Stefanos; Martonosi, Margaret",Synthesis Lectures on Computer Architecture,,,2008,,,,,x,,,,,,Book.
MJ3JKI3H,Content-based image retrieval using feature extraction & statistical pattern recognition techniques for environmental applications,"Theodossi, A. D.; Tsihrintzis, G. A.","2008 15th International Conference on Systems, Signals and Image Processing",,,2008,,,,x,,,,,,,Not SE related based on title.
XTXYSVQQ,Control and communication techniques for the smart grid: An energy efficiency perspective,"Law, Yee Wei; Pota, Hemanshu R.; Jin, Jiong; Man, Zhihong; Palaniswami, Marimuthu",IFAC Proceedings Volumes,,,2014,,,,x,,,,,,,Not SE related based on title.
JHXH2ZGQ,CVO Test & Evaluation Strategies● Expedited Processing and International Crossing (EPIC)● International Border Electronic Clearance (IBEX)● Oregon Green Light-Tranzit XPress,"Mileage, Automated",,,,,,,,x,,,,,,,Not SE related based on title.
RJN3WY6H,Delivering environmental decision support systems: software tools and techniques,"Rizzoli, Andrea Emilio; Young, William J.",Environmental modelling & software,,,1997,,,,x,,,,,,,Not SE related based on title.
SIGMGUP8,Demand Responsive and Energy Efficient Control Technologies and Strategies in Commercial Buildings,"Piette, Mary Ann; Kiliccote, Sila",,,,2006,,,,x,,,,,,,Not SE related based on title.
I99GECLY,Dependability benchmarking using environmental test tools,"Constantinescu, Cristian","Annual Reliability and Maintainability Symposium, 2005. Proceedings.",,,2005,,,,x,,,,,,,Not energy efficient related based on title.
SCWNUFFY,Design of Power Efficient 4x4 Multiplier Based On Various Power Optimizing Techniques,"Venkatesh, A.; Rathan, N.; Saranya, R.",Asian Journal of Applied Science and Technology (AJAST),,,2017,,,,x,,,,,,,Not software related based on abstract.
7FGS6TDK,Design-time validation of runtime reconfiguration strategies: An environmental-driven approach,"Scheerer, Max; Rapp, Martina; Reussner, Ralf",2020 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS),,,2020,,,,x,,,,,,,Not energy efficient related based on abstract.
YK3S4P7P,Designer perceptions of user agency during the development of environmental risk visualization tools,"Stephens, Sonia H.",Proceedings of the 35th ACM International Conference on the Design of Communication,,,2017,,,,x,,,,,,,Not SE related based on title.
JZJZZRQ4,Designing a business model for environmental monitoring services using fast MCDS innovation support tools,"Eskelinen, Tuomo; Räsänen, Teemu; Santti, Ulla; Happonen, Ari; Kajanus, Miika",Technology Innovation Management Review,,,2017,,,,x,,,,,,,Not SE related based on title.
MKJXQ5VH,"Designing an energy efficient network using integration of KSOM, ANN and data fusion techniques","Singh, Pooja; Pareek, Vikas; Ahlawat, Anil K.",International Journal of Communication Networks and Information Security,,,2017,,,,x,,,,,,,Deals with protocols in WSN
