ID,Title,Tactic Employed,Tactic Environment,Tactic Category,"Tactic Type (Measurement, Refactoring, Implementation Tactic)","Abstraction Level (Architectural, Design, Code)","Platform (Agnostic, Workstation, Cloud, Mobile)","Software Development Stage (Requirements, Design, Implementation, Verification, and Maintenance)",,,,,,,,,,,
44E3X95Z,Earmo: An energy-aware refactoring approach for mobile apps,"Paper performs an empirical study on the energy consumption of anti-patterns, it develops a technique to measure the energy consumption of mobile applications, proposes an automatic refactoring technique to improve the design quality of source code while preserving energy efficiency, and perform a study on the efficacy of earmo among mobile application developers. The paper finds that removing Binding resources too early, Private getters and setters, Refused Bequest, and Lazy class anti-patterns can improve energy efficiency in some cases.",Static,Optimization,"StaticOptimization, Design Pattern Refactoring, Dynamic Measuring, Power Measuring, Automatic Refactoring",Design,Mobile,Implementation,,,,,,,,,,,
44IANVHH,Managing the energy-delay tradeoff in mobile applications with tempus,"Paper proposes Tempus, a framework that saves power by enabling programmers to annotate power-hungry operations of continously running mobile applications with states that specify when the operation can be executed to save energy. Through tempus, developers assign a budget to operations and energy policies that spend the budget at different rates, allowing developers to balance energy efficiency and quality of service.",Dynamic,Optimization,"Dynamic Optimization, Energy Aware Computing",Code,Mobile,Design,,,,,,,,,,,
48433ESM,Evaluating the impact of code smell refactoring on the energy consumption of android applications,"Paper investigates the influence of code smell refactoring on Android Open Source Apps. The paper finds that for some applications, applying the Duplicated Code and Type Checking refactorings reduced energy consumption up to 10%.",Static,Optimization,Code Refactoring,Code,Mobile,Maintenance,,,,,,,,,,,
4A3AGUKH,A comprehensive study on the energy efficiency of java’s thread-safe collections,"Paper analyzes thread safe implementations of Java collections to find if different implementations of the same collection and the same methods of different implementations have different energy consumption. The authors find that small changes in implementation can make a huge difference in the energy consumption of an application. In particular, they find that the latest versions of thread safe collections are the most energy efficiency in most cases, and scale up the best when compared to the old versions. The latest thread safe collections scale up comparably to the unsafe collections.",Static,Optimization,"Energy Efficient Data Structures, Multithreading Energy Efficiency",Code,Agnostic,Implementation,,,,,,,,,,,
4GW9NRNL,Estimating mobile application energy consumption using program analysis,Paper proposes a measuring tool that can estimate software energy consumption at the code level. It does so by using both static analysis of the source code and per instruction energy modelling.,Static,Monitoring,"Energy estimation, Program Analysis, Static Analysis",Code,Mobile,Verification,,,,,,,,,,,
4KGZLD99,Calculating source line level energy information for android applications,Paper proposes a measuring framework that allows for calculating source line level energy information for android applications by using hardware energy models and static analysis.,Static,Monitoring,Measuring,Code,Mobile,Verification,,,,,,,,,,,
4MWD3GI2,Manageable granularity in mobile application code offloading for energy savings,Paper proposes an offloading strategy for mobile web browsers which separates an applications code into computational and UI related modules and offloads computational modules to the cloud while running the UI related code locally.,Static,Optimization,"code offloading, workload partitioning",Architectural,Mobile,Design,,,,,,,,,,,
4S65RXRF,Green mining: a methodology of relating software change and configuration to power consumption,"Paper proposes a methology to estimate the impact software evolution (changes through commits) has on energy consumption, and give recommendations based on the softwares versioning history. The authors find that the energy efficiency of software across version does change, but they note that more research is needed to know why. The authors also analyze correlations between object oriented software metrics such as added lines, removed lines, lines of code, and churned lines and energy consumption. However, they test for correlation in a relatively small section of code (commit level) and thus they are not able to consistently find a correlation between the software metrics and energy consumption.",Static,Monitoring,"Software Metrics, Energy Though Software Evolution",Design,Agnostic,Verification,,,,,,,,,,,
4S65RXRF,,,Static,Monitoring,,Code,Agnostic,Verification,,,,,,,,,,,
55EMQ48G,Impacts of software and its engineering on the carbon footprint of ICT,"Paper proposes measuring the energy efficiency of software during the CI cycle. They propose a strategy, based on well-known software testing approaches and CI, to take energy efficiency into account during the daily work of a software developer.",Dynamic,Monitoring,CI/CD Measuring,Code,Agnostic,Verification,,,,,,,,,,,
57QF6PCN,,,Dynamic,Monitoring,,Code,Cloud,Verification,,,,,,,,,,,
57QF6PCN,A green software development life cycle for cloud computing,Paper identifies energy-saving opportunities in a typical SDLC process to help build more environment-friendly software applications for the cloud.,Static,Optimization,Energy Efficient SDLC,"Architectural, Design, Code",Cloud,"Requirements, Design, and Implementation",,,,,,,,,,,
59HNH3FK,Evaluation of Software Product Quality Attributes and Environmental Attributes using ANP Decision Framework.,"Paper extends their previously proposed ANP framework, a multi-criteria decision making (MCDM) approach that incorporates multiple objectives for prioritizing conflicts, to include energy efficiency requirements by defining sub-criteria of quality and environmental criteria. This framework helps developers designing software systems to prioritize between possible conflicting functional and quality requirenments and energy efficiency.",Static,Optimization,Software Development Process Tactics,Architectural,Agnostic,Requirements,,,,,,,,,,,
59ILI6BA,EnerJ: Approximate data types for safe and general low-power computation,"Paper proposes EnerJ, an extension to Java both safe and general, that adds approximate and precise data types. Paper also provides endorsements, which are programmer-specified points at which approximate-to-precise data flow may occur. Paper also provides simulations of a runtime and hardware to run this approximate version of Java.",Dynamic,Optimization,"Programming Languages, Hardware/software interfaces, Approximate Programming",Architectural,Agnostic,Design,,,,,,,,,,,
5FAZY5KA,Impact of developer choices on energy consumption of software on servers,"Paper shows how different I/O APIs'  regarding reading, copying, compressing, and decompressing can influence the energy consumption of application software's energy efficiency. Paper finds that the buffer size highly impact the energy efficiency of the APIs, and that APIs energy efficiency only varies if different buffer sizes are chosen. Paper also finds that specifying a buffer size is more energy efficient than using a fixed buffer size. The paper also proposes a power model to estimate the energy consumption of i/o operations based on the buffer size.",Static,Optimization,"StaticOptimization, I/O optimzation, Energy Model, StaticMeasurements, Software Metrics",Code,Agnostic,Implementation,,,,,,,,,,,
5IT56E4B,Energy Efficiency Analysis of Code Refactoring Techniques for Green and Sustainable Software in Portable Devices,Paper analyzes the energy consumption and maintainability improvement of combining code-level refactorings through an application's code both in mobile and desktop.,Static,Optimization,"Code Refactoring, Combining Code Refactoring Techniques",Code,"Workstation, Mobile",Maintenance,,,,,,,,,,,
5IT56E4B,,,Static,Optimization,,Code,Mobile,Maintenance,,,,,,,,,,,
6PR46JX3,The software perspective for energy-efficient mobile applications development,Paper proposes a guideline to measure the energy consumption of software mobile applications both at the application level and at the code level.,Dynamic,Monitoring,"Dynamic Measurement, Application Level Measurement, Code Level Measurement",Architectural,Mobile,Verification,,,,,,,,,,,
6PR46JX3,,,Dynamic,Monitoring,,Code,Mobile,Verification,,,,,,,,,,,
6RUTHNIE,Haskell in green land: Analyzing the energy behavior of a purely functional language,"Paper adapts two measuring frameworks, Criterion and the GHC Profiler for the Haskell programming language to measure energy consumption. They then use the different profilers to measure the energy consumption of different implementation choices in Haskell. The authors find that thread management construct, such as using MVar over TMVar, highly affects the energy consumption of a multithreaded application. The paper also finds that performance does not equal energy savings",Dynamic,Monitoring,"Code Optimization, Data Structure Optimization, Multithreaded Management Optimization, Measurment Framework",Code,Agnostic,Verification,,,,,,,,,,,
6RUTHNIE,,,Static,Optimization,,Code,Agnostic,Implementation,,,,,,,,,,,
6VBJLJ6V,EARLY ANALYSIS OF SOFTWARE ARCHITECTURE TO ESTIMATE ENERGY CONSUMPTION IN ANDROID PLATFORM,Paper analyzes the energy consumption difference between a server-centric and a mobile-centric architecture.,Static,Optimization,,Architectural,Mobile,Design,,,,,,,,,,,
7EBBEQTC,Automated re-factoring of android apps to enhance energy-efficiency,"Paper proposes re-factoring technique that can assist in energyaware app development. Their technique relies on a set of energy efficiency guidelines that encodes the optimal usage of energy intensive hardware resources in an app. To do this, the framework generates an intermediate, succinct representation of the app which contains only the most important information for the application. The framework also generates a defect expression but presents the negation of an energy-efficiency guideline, basically what the app has to do to waste energy. A non-empty intersection between design-expression and defect-expression indicates violation of the energy-efficiency guideline that is associated with the defect-expression.",Static,Optimization,"Refactoring, StaticAnalysis ",Design,Mobile,Maintenance,,,,,,,,,,,
7FV8X9PI,Performance events based full system estimation on application power consumption,"Paper proposes measuring the energy consumption of software on different hardware components by creating a machine learning model that predicts the energy consumption of an application type (computation intensive, memory-intensive) by using performance events (cache misses, active cycles) as predictors of energy consumption. They do this by first runnning micro-benchmarks on hardware components to find how different performance events of different types of applications affects their energy consumption. Once the authors find the related performance events, they create a model that predicts the energy consumption throughout the whole system.   ",Dynamic,Monitoring,"Software Measuring, Perfomance Events, Dynamic Measuring",Architectural,Agnostic,Verification,,,,,,,,,,,
7IFZJFLT,,,Dynamic,Monitoring,,Code,Agnostic,Implementation,,,,,,,,,,,
7IFZJFLT,Search-based energy optimization of some ubiquitous algorithms,"Paper presents Opacitor, a bytecode level energy profiler for programs running on the JVM. The authors then use opacitor to create energy effcient versions of quicksort and objet-oriented classes and achieve 70% and 39.85% energy savings respectively. The authors do so by applying genetic improvement algorithms to the implementations of quicksort and the Google Guava OO library to generate more energy efficient versions. In addition, the authors propose using Automatic Differentiation in the training and validation of a multilayer perceptron to vary energy consumption vs accuracy of prediction.",Static,Optimization,"Search Based Software Engineering Optimization, StaticOptimization, Measurement, Bytecode Level Measurements, Energy Model, Java opcode measuring, Machine Learning Training Optimization",Code,Agnostic,Implementation,,,,,,,,,,,
7WF3N24V,A programming environment with runtime energy characterization for energy-aware applications,"Paper presents a programming environment to ease the construction of energy-aware applications. Programs in this runtime may use ""options"" which are different ways to achieve desired functionalities and choose the most energy effcient option.",Dynamic,Optimization,"Energy aware application, Programming environment",Architectural,Workstation,Design,,,,,,,,,,,
85U3NXXL,Greenbundle: an empirical study on the energy impact of bundled processing,"Paper analyzes the energy-efficiency of the model-view-controller architectural pattern vs the model-view-presenter architectural pattern with event bundling in mobile applications. An event can be a database update request, a packet transmission request, a view update request. By bundling these events and processing them all at once applications can save significant energy compared to the non-bundled version.",Static,Optimization,"Energy Efficient Architectural Patterns, Event Bundling",Architectural,Mobile,Design,,,,,,,,,,,
8EAS3MJ2,Exploiting significance of computations for energy-constrained approximate computing,"Paper presents a programming model that allows developers to structure the computation in different tasks, and to express the relative importance of these tasks for the quality of the end result, for less important tasks, the programmer can specify an approximate version.",Dynamic,Optimization,Approximate Computing,Architectural,Workstation,Implementation,,,,,,,,,,,
8JBIUZ3B,Melta: A method level energy estimation technique for android development,Paper proposes a method to measure energy efficiency at a method level. The paper does this by generating an energy consumption model by mapping the voltage and current readings onto the execution time of each method.,Dynamic,Monitoring,"StaticAnalysis, Method Level Energy Measurement",Code,Mobile,Verification,,,,,,,,,,,
8JYDG2EY,Reducing energy consumption using genetic improvement,"Paper proposes using a genetic improvement algorithm to improve subtle code design decisions such as introducing inline methods, swapping API implementations, and constructing semantically equivalent (but structurally inequivalent) algorithms to increase the energy efficiency of applications.",Static,Optimization,"Genetic Improvement, Search Based Software Optimization,",Code,Agnostic,Implementation,,,,,,,,,,,
8Z4FJ9KZ,Variability models for generating efficient configurations of functional quality attributes,"Paper propses a method to automatically generate optimum configurations of functional quality attributes in terms of energy efficiency for a specific application. The authors also present a characterization of functional quality requirements in terms of operations (encrypt/decrypt), contextual variables (e.g., the size of the object to be encrypted), configurable parameters (e.g., different algorithms), and implementations (e.g., existing framework and libraries), and the corresponding usage model for each FQA that includes all this information so it can be instantiated in the applications. ",Static,Optimization,Functional Quality Attribute Optimization,Architectural,Agnostic,Design,,,,,,,,,,,
92K5Z6UT,Inheritance versus delegation: Which is more energy efficient?,Paper proposes replacing delegation by inheritance in order to increase the energy efficiency of an application.,Static,Optimization,"Refactoring, Design Patterns, StaticOptimization",Design,Agnostic,Maintenance,,,,,,,,,,,
95RQKDX5,,,Dynamic,Monitoring,,Architectural,Mobile,Verification,,,,,,,,,,,
95RQKDX5,Saving Energy on Mobile Devices by Refactoring.,"Paper proposes a refactoring process to eliminate the energy code smells of an application. It does so by first analyzing the source code of an application, generating a metamodel, eliminating energy code smells in the application, and unparsing the model into source code. It then proposes to perform an evaluation on the re-written applications to find the energy percentage saved.",Static,Optimization,"Refactoring, StaticCode Analysis","Design, Code",Mobile,Maintenance,,,,,,,,,,,
98DNPTFE,Towards an Energy-Consumption Based Complexity Classification for Resource Substitution Strategies.,"Paper proposes an energy consumption complexity classification simialr to the computational complexity of algorithms in which developers can measure the energy consumption of an application by the CPU, memory access, and network usage. The authors then propose a dynamic scheduling framework that decides the best exectution environment at an application's runtime.",Dynamic,Optimization,"Dynamic Optimization, Energy Consumption complextiy",Architectural,Mobile,Design,,,,,,,,,,,
9HVUQKK3,The power of system call traces: predicting the software energy consumption impact of changes.,Paper proposes an energy consumption measuring tool by relating software change to energy consumption by tracing the changes in an application’s pattern of system call invocations.,Dynamic,Monitoring,"Measuring,  System Calls, Testing",Architectural,Mobile,Verification,,,,,,,,,,,
AAPZ4E7T,"Energy efficiency across programming languages: how do energy, time, and memory relate?","Paper analyzes the energy consumption of programming languages compared to their execution time and memory consumption. They then provide a pareto-optimal pairing between programs based on the needs of the application (energy efficiency, execution time, memory consumption)",Static,Optimization,Programming Language Benchmarking,Architectural,Agnostic,Design,,,,,,,,,,,
AWARRYWE,Evaluating the Impact of Java Virtual Machines on Energy Consumption,"Paper evaluates different JVM versions and configurations (garbage collector, multithreading, JIT) and makes recommendations on choosing the best JVM for energy efficiency. It also proposes an open source application that recommends the best JVM distribution and configuration based on an application. Paper also provides guidelines on how to best configure the JVM environment for energy efficiency.",Static,Optimization,"Runtime environments, environment configuration",Architectural,Agnostic,Design,,,,,,,,,,,
AZHT26VR,Energy optimization in Android applications through wakelock placement,"Paper proposes placing the wakelock acquire and release function calls at appropriate positions in the application depending on the usage of an application. This way, overutilization can be avoided by not placing the wakelock to early, or by placing a useless wakelock.",Static,Optimization,"Data Flow Analysis, Wakelock Placement",Code,Mobile,Implementation,,,,,,,,,,,
BAEDN8AK,Automated energy optimization of http requests for mobile applications,"Paper proposes to bundle HTTP requests in mobile applications to save energy. They do this by performing Staticanalysis on the applicaiton code to find bundable requests, then they perform string analysis on to identify relations between bundles, and configure a set of bundling rules, and then to use a proxy server at runtime that automatically detects the start of a series of bundable HTTP requests and performs the optimizations.",Static,Optimization,"HTTP Request Bundling, StaticCode Analysis, Code Optimization",Code,Mobile,Implementation,,,,,,,,,,,
BCGVNHPS,Energy-efficient multisite offloading policy using Markov decision process for mobile cloud computing,"Paper proposes a framework to dynamically offload data intensive and comptation intensive tasks to different cloud servers depending on the energy savings of each server. For example, mobiles can offload the computational intensive modules to a server that is close to the mobile, and data intensive modulea can be offloaded to a server that is close to the database.",Dynamic,Optimization,Computational Offloading,Architectural,Mobile,Design,,,,,,,,,,,
BKJYESRW,Green software: Refactoring approach,"Paper proposes refactoring as shows that energy code smells are correlated to the energy consumption of an application, and that refactoring improves the energy consumption of an application.",Static,Optimization,Refactoring,"Design, Code",Mobile,Maintenance,,,,,,,,,,,
BKJYESRW,,,Static,Optimization,Refactoring,Design,Mobile,Maintenance,,,,,,,,,,,
CIQNDCVP,Detecting energy bugs and hotspots in mobile apps,Paper presents an automatic test generator that simulates users' inputs and allows to discover energy hostspots/bugs. Each generated test suite represents a user interaction scenario that leads to an energy hotspot. The paper also defines energy bugs for mobile applications,Dynamic,Monitoring,Acceptance Testing,Design,Mobile,Verification,,,,,,,,,,,
D8RELEFX,Mining energy-greedy api usage patterns in android apps: an empirical study,"Paper explores how uses and misuses of Android's energy-greedy method calls and API usage patterns (wakelock, sensor data requests can lead to energy bugs. The paper finds that APIs related to gui and image manipulation and database usage are the most energy consuming APIs in the android system. Finally, the authors propose energy efficiency tactics for mobile applications that deal with these APIs",Static,Optimization,"Code Optimization, Design Pattern Optimization",Design,Mobile,Implementation,,,,,,,,,,,
D8RELEFX,,,Static,Optimization,,Code,Mobile,Implementation,,,,,,,,,,,
DJW8RCH4,"Comparing REST, SOAP, Socket and gRPC in computation offloading of mobile applications: An energy cost analysis","Paper alayzes different architectural styles to offload computations to the cloud including SOAP, REST, Socket, and gRPC, and finds that REST and websocket are the most energy efficient computation offloading communication protocols, and that computational offloading can improve the energy efficiency of an application up to ten times",Static,Optimization,Computational Offloading,Architectural,Mobile,Design,,,,,,,,,,,
DQRV7XAC,Refactoring android java code for on-demand computation offloading,Paper proposes an automatic refactoring tool to introduce computational offloading to mobile applications,Static,Optimization,"Refactoring, Computational Offloading",Design,Mobile,Maintenance,,,,,,,,,,,
DVMM6IHF,Self-adaptive battery and context aware mobile application development,"Paper proposes a self adaptive mobile application framework that changes the application's behavior, UX, optimizing resource usage, and performance depending on the available battery and context such as travelling.",Dynamic,Optimization,"Energy Aware Application, Self-Adaptive Application",Architectural,Mobile,Implementation,,,,,,,,,,,
E5PP5MNY,Enforcing green code with Android lint,"Paper extends the android lint tool to with green checks to show energy hotspots in code. Paper first analyzes 11 energy bugs, and then extends the Android Lint tool to detect tha analyzed bugs. Paper also analyzes different  energy bugs ",Static,Optimization,"StaticAnalysis, Energy Bug Refactoring",Code,Mobile,Implementation,,,,,,,,,,,
EEA62K47,Characterizing the performance and energy efficiency of lock-free data structures,"Paper investigates the difference in energy efficiency of lock-free and locking data structures. They do so by implementing a locking and lock-free version of a fifo channel, a queue, and a linked list. The paper finds that most of the time lock-free implementations are more energy efficient than their locking counterparts.",Static,Optimization,"Lock-free Data-structures, Locking Data-structures. Data-structure optimization, Concurrency, Multithreading",Code,Agnostic,Implementation,,,,,,,,,,,
EQ8JEST9,Self-adaptive energy-efficent applications: the hadas developing approach,"Paper proposes a framework in which developers specify energy concerns which are used to model the energy consumption and energy hotspots of an application at design time. At design time, different variations of the application are modeled and stored in a green repository, which allow developers to consider the energy efficiency of all the application variations at design time. These models furthermore allow the developer to create self-greening rules that will trigger a reconfiguration at runtime depending on initialization variables like input size.",Dynamic,Optimization,"Energy aware reconfiguration, Energy Hotspot Identification, Design Self-adaptation, Strategy Repository",Design,Agnostic,Design,,,,,,,,,,,
ESMRAFHG,Comparing the Energy Consumption of Java I/O Libraries and Methods,"Paper analyzes the energy consumption of Java I/O APIs on their energy consumption. The authors then propse guidelines on what are the best I/O methods depending on the requirements (reading, writing, read all data). The paper finds that the nio.FileChannel is the most efficient I/O interface, providing savings of 10-20%. Choosing the wrong buffer size (too big, too small) for data tends to lead to energy inefficiency, For writing data, GUAVA or NIOF should be avoided. The authors also find that replacing energy inefficient I/O methods improves the I/O consumption of application up to 30%",Static,Optimization,StaticOptimization,Code,Agnostic,Implementation,,,,,,,,,,,
EUGXAZQP,Exploring evolutionary search strategies to improve applications’ energy efficiency,Paper proposes using different genetic algorithms to explore software developers’ high level decisions that improve an application’s energy usage. To do so they extend the SEEDS approach to use a genetic algorithm instead of an exhaustive search.,Dynamic,Optimization,"Genetic Improvement, Search Based Refactoring, StaticOptimization",Code,Agnostic,Implementation,,,,,,,,,,,
F75EJ3E3,Towards power reduction through improved software design,"Paper proposes a method to map software design to energy consumption. They do so by using an FPGA board to simulate a computer system, and then use the boards real time power monitor to indicate when specific code sequences start and stop executing.",Dynamic,Monitoring,Software Design,Code,Agnostic,Verification,,,,,,,,,,,
F7RAFTPT,GREEN MOBILE APPLICATION DEVELOPMENT THROUGH SOFTWARE LOCALIZATION,"Paper proposes using localization, making different languages accessible to users, to increase the energy efficiency of an application. In the authors opinion, the usage time of applications with localization will be shorter, and users will not have to use other services to translate the application which might increase the energy consumption.",Static,Optimization,Energy Efficiency Through Localization,Architectural,Mobile,Requirements,,,,,,,,,,,
G3L58GAT,Data-oriented characterization of application-level energy optimization,"Paper investigates how the choice of application-level data management features impact energy consumption. To do so, they investigate how data access patterns, data organization and representation, data precission and data i/o strategies impact the energy consumption of an application. Paper finds that random access, object-centric data organization, unbuffered I/O consume significantly more energy. The energy consumption for memory read and write are on par, but file write is significantly more expensive than file read. The paper also presents the jRAPL measuring tool that can measure energy consumption at a code level.",Static,Optimization,"StaticOptimization, Code Level Measurement, Dynamic Measurements",Code,Agnostic,Implementation,,,,,,,,,,,
G3L58GAT,,,Dynamic,Optimization,,Code,Agnostic,Implementation,,,,,,,,,,,
G4AEGEBJ,,,Static,Monitoring,,Code,Mobile,Verification,,,,,,,,,,,
G4AEGEBJ,A source-level energy optimization framework for mobile applications,"Paper proposes an energy optimization framework guided by a source code energy model that allows developers to be aware of energy usage induced by code and to apply targeted source-level refactoring strategies. The authors first employ the energy model created to identify the most energy consuming methods of an application, then they choose the strategy needed to refactor the methods, and perform an evaulation of the refactored code.",Static,Optimization,"Refactoring, StaticAnalysis, Source Code Measuring",Code,Mobile,Maintenance,,,,,,,,,,,
G5W86TY3,Extending software architecture views with an energy consumption perspective,"Paper introduces an energy consumption perpective on software architecture design following the detailed format and viewpoint catalog described by Rozanski and Woods including: the applicability to views through key questions, concerns that can be addressed, activities for application and architectural tactics. The authors also position sustainability as a quality attribute following the ISO 25010 format and define subattributes which include several energy consumption focsued attributes.",Static,Optimization,"Energy Consumption Architectural Perspective, Perspective Activities, Green Architectural Tactics",Architectural,Agnostic,"Requirements, Design",,,,,,,,,,,
G9ZC4CU8,"Android app energy efficiency: The impact of language, runtime, compiler, and implementation","Paper proposes the Android Energy Profiler (AEP) to measure the detailed power consumption of various Android apps. The paper also compares several languages, runtimes, and implementation decisions based on their energy efficiency. Paper finds that C++ is 11 times more energy efficient than Java, while C is only marginally more efficient than C++. It suggests Android developers to avoid the stack to improve performance and to use parallel code when possible to increase the energy consumption of applications. For Android runing ART, the difference between Java and native code is neglible. Interestingly, the paper finds that the thin client design may not be the most energy-efficient solution.",Dynamic,Monitoring,"Application Measuring, Progamming Language Benchmark, Runtime Benchmark, Code Optimization",Architectural,Mobile,Verification,,,,,,,,,,,
G9ZC4CU8,,,Static,Optimization,,Architectural,Mobile,Design,,,,,,,,,,,
G9ZC4CU8,,,Static,Optimization,,Code,Mobile,Implementation,,,,,,,,,,,
GXRX9RTC,Investigation for Software Power Consumption of Code Refactoring Techniques.,Paper analyzes different refactoring techniques from M. Fowler and their impact on energy consumption. It then presents a set of refactorings that can increase the energy efficiency of software.,Static,Optimization,"Code Refactoring,StaticOptimization",Code,Agnostic,Maintenance,,,,,,,,,,,
H6BXP35P,Ape: An annotation language and middleware for energy-efficient mobile application development,Paper proposes an annotation and middleware framework for mobile applications where programmers can specify which are the most power hungry sections of code. The execution of the annotated code is deferred until the mobile device enters a state that minimizes energy consumption. This relieves the developer from working with multithreading and hardware scheduling directly.,Dynamic,Optimization,"Energy aware computing, code annotation, context aware",Code,Mobile,Implementation,,,,,,,,,,,
IHN8YLLL,An empirical study of the energy consumption of android applications,"Paper investigates several questions regarding the energy consumption of mobile applications. The authors consider wich types of applications spend the most energy, what states of an application consume the most energy (idle, api-idle,non-idle), which code consumes more energy API calls or developer written code, how much energy is consumed by different components of a smartphone, which api calls consume the most energy, how much energy does loops consume, is time equal to energy, the correct granularity to measure energy and whether only measuring non-idle energy consumption accurately measures the total energy consumption of an application. The authors find that idle time consumes more energy than non-idle time, and that measuring only non-idle time does not accurately measures the total energy consumption of an application. The paper also finds that the most energy consuming component of a smartphone is the networking, and that optimization efforts must be focused on this area.",Static,Optimization,"StaticAnalysis, Code Optimization",Code,Mobile,Implementation,,,,,,,,,,,
IL5CDLN3,Anole: a case for energy-aware mobile application design,Paper proposes a framework that exposes a set of APIs and adaptation policies so that programmers can define energy states and set the application to different energy states when a specific energy event is triggered. The framework then triggers the applications and system to change to different power states when certain energy events happen. The framework also exposes api interfaces to let the end user costumize the adaptation settings.,Dynamic,Optimization,"Energy adaptation, Energy Aware Programming, Dynamic Optimization",Architectural,Mobile,Design,,,,,,,,,,,
ILXTNC4I,Studying energy trade offs in offloading computation/compilation in java-enabled mobile devices,Paper proposes an offloading framework targeting the Java language that dynamically decides whether computations should be performed locally or in the cloud. The framework leverages Java's object serialization feature to allow offloading of both method execution and bytecode-to-native code compilation to the server when executing a Java application.,Dynamic,Optimization,Computational Offloading,Code,Mobile,Design,,,,,,,,,,,
