ID,Title,Authors,Venue,Venue Acronym,Venue Type,Year,Tactic Employed,"Tactic Type (Measurement, Refactoring, Implementation Tactic)","Abstraction Level (Architectural, Design, Code)","Platform (Agnostic, Workstation, Cloud, Mobile)","Software Development Stage (Requirements, Design, Implementation, Verification, and Maintenance)",Context,Study Design,Threats to Validity,Rigor,IR Subjects,IR Context,IR Scale,IR Research Method,Industrial Relevance,"Industry Involvement (Academic, Industrial, Mix)",Notes,,Year,Total,Journal,Conference,Workshop,Not Published (for which extention was found),Total Without SLRs,,Venue Acronym,With SLRs,Without SLR,Venue Acronym (Most Frequent),,Journals,Conferences,Workshops,Total
3BCM2CIS,A preliminary study of the impact of software engineering on greenit,"Noureddine, Adel; Bourdon, Aurelien; Rouvoy, Romain; Seinturier, Lionel",2012 First International Workshop on Green and Sustainable Software (GREENS),GREENS,W,2012,"Paper proposes to gather applications energy feedback information at runtime and with similar accuracy as hardware equipments while using only a software approach. They do so based on a system monitoring library (at the operating system level), called POWERAPI which estimates the energy consumption of running processes, in real-time, based on raw information collected from hardware devices.","Process Measuring, Hardware Components Consumption, Testing","Architectural, Design",Workstation,Verification,0.5,0.5,0,1,0,0,0,0,0,Academic,,,2014,22,1,17,2,0,20,,JSS,3,3,SUSCOM,2,,,,
ZFADW8SU,Object-oriented genetic improvement for improved energy consumption in Google Guava,"Burles, Nathan; Bowles, Edward; Brownlee, Alexander EI; Kocsis, Zoltan A.; Swan, Jerry; Veerapen, Nadarajen",International Symposium on Search Based Software Engineering,SSBSE ,C,2015,,,,,,,,,,,,,,,,Extended by 7IFZJFLT,,2015,26,6,16,0,0,22,,MSR,3,2,MSR,2,,,,
RL4Q2U3X,An Automated Code Optimizer of Design Patterns for Reducing Energy Usage in Green Computing,"Din, Jamilah; Wei, Ooi Chiew; Jasser, Muhammed Basheer",International Journal of Engineering & Technology,IJET,J,2018,Paper proposes a tool that automatically optimizes design patterns into an energy efficiency version based on energy efficient transformation rules.,Code Optimization,Design,Agnostic,Maintenance,1,0.5,0.5,2,0,0,0,0,0,Academic,,,2016,18,4,12,0,1,17,,MS,2,1,ISSTA,2,,,,
9HVUQKK3,The power of system call traces: predicting the software energy consumption impact of changes.,"Aggarwal, Karan; Zhang, Chenlei; Campbell, Joshua Charles; Hindle, Abram; Stroulia, Eleni",CASCON,CASCON,C,2014,Paper proposes an energy consumption measuring tool by relating software change to energy consumption by tracing the changes in an application’s pattern of system call invocations.,"Measuring,  System Calls, Testing",Architectural,Mobile,Verification,1,1,1,3,0,0,1,0,1,Academic,,,2017,17,6,9,0,0,15,,ISSTA,2,2,SSBSE ,2,,,,
R2FNZSWN,Investigating the Impact of Code Refactoring Techniques on Energy Consumption in Different Object-Oriented Programming Languages,"Sanlialp, Ibrahim; Ozturk, Muhammed Maruf",The International Conference on Artificial Intelligence and Applied Mathematics in Engineering,ICAIAME ,C,2019,Paper proposes to use the extract method to improve the energy efficiency of applications written in several languages,Refactoring,"Design, Code",Agnostic,Maintenance,1,0.5,0,1.5,0,0,1,0,1,Academic,,,2018,7,5,1,0,0,6,,SSBSE ,2,2,iThings/GreenCom/CPSCom/SmartData,2,,,,
DQRV7XAC,Refactoring android java code for on-demand computation offloading,"Zhang, Ying; Huang, Gang; Liu, Xuanzhe; Zhang, Wei; Mei, Hong; Yang, Shunxiang",Proceedings of the ACM international conference on Object oriented programming systems languages and applications,OOPSLA,C,2012,Paper proposes an automatic refactoring tool to introduce computational offloading to mobile applications,"Refactoring, Computational Offloading",Design,Mobile,Maintenance,1,0.5,0,1.5,0,0,1,0,1,Academic,,,2019,13,5,5,1,0,11,,iThings/GreenCom/CPSCom/SmartData,2,2,Electronics,2,,,,
8EAS3MJ2,Exploiting significance of computations for energy-constrained approximate computing,"Vassiliadis, Vassilis; Chalios, Charalampos; Parasyris, Konstantinos; Antonopoulos, Christos D.; Lalis, Spyros; Bellas, Nikolaos; Vandierendonck, Hans; Nikolopoulos, Dimitrios S.",International Journal of Parallel Programming,International Journal of Parallel Programming,J,2016,"Paper presents a programming model that allows developers to structure the computation in different tasks, and to express the relative importance of these tasks for the quality of the end result, for less important tasks, the programmer can specify an approximate version.",Approximate Computing,Architectural,Workstation,Implementation,1,0.5,0,1.5,0,0,0,0,0,Academic,,,2020,7,4,3,0,0,7,,Electronics,2,2,PMC ,2,,,,
QEN7UH85,Estimating software energy consumption with machine learning approach by software performance feature,"Fu, Cuijiao; Qian, Depei; Luan, Zhongzhi","2018 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",iThings/GreenCom/CPSCom/SmartData,C,2018,"Paper proposes a machine learning approach to classify the energy efficiency of software based on performance features. The model decrypt the composition of the energy consumption of an application, it gives the features of the program related to the energy consumption, and it gives the relevant parameters to the programmer.","Measuring, Machine Learning",Architectural,Agnostic,Verification,1,0.5,0,1.5,0,0,0,0,0,Academic,,,2021,7,1,5,0,0,6,,PMC ,2,2,MOBILESoft,2,,,,
G9ZC4CU8,"Android app energy efficiency: The impact of language, runtime, compiler, and implementation","Chen, Xinbo; Zong, Ziliang","2016 IEEE international conferences on big data and cloud computing (BDCloud), social computing and networking (socialcom), sustainable computing and communications (sustaincom)(BDCloud/SocialCom/SustainCom)",BDCloud/SocialCom/SustainCom,C,2016,"Paper proposes the Android Energy Profiler (AEP) to measure the detailed power consumption of various Android apps. The paper also compares several languages, runtimes, and implementation decisions based on their energy efficiency. Paper finds that C++ is 11 times more energy efficient than Java, while C is only marginally more efficient than C++. It suggests Android developers to avoid the stack to improve performance and to use parallel code when possible to increase the energy consumption of applications. For Android runing ART, the difference between Java and native code is neglible. Interestingly, the paper finds that the thin client design may not be the most energy-efficient solution.","Application Measuring, Progamming Language Benchmark, Runtime Benchmark, Code Optimization","Architectural, Design, Code",Mobile,"Design, Verification",0.5,0.5,0,1,0,0,0,0,0,Academic,,,2022,3,1,2,0,0,3,,CSUR,2,0,GECCO,2,,,,
BKJYESRW,Green software: Refactoring approach,"Sehgal, Rajni; Mehrotra, Deepti; Nagpal, Renuka; Sharma, Ramanuj",Journal of King Saud University-Computer and Information Sciences,Journal of King Saud University,J,2020,"Paper proposes refactoring as shows that energy code smells are correlated to the energy consumption of an application, and that refactoring improves the energy consumption of an application.",Refactoring,"Design, Code",Mobile,Maintenance,1,1,0,2,0,0,1,0,1,Academic,,,,,,,,,,,MOBILESoft,2,2,Empirical Software Engineering,2,,,,
59ILI6BA,EnerJ: Approximate data types for safe and general low-power computation,"Sampson, Adrian; Dietl, Werner; Fortuna, Emily; Gnanapragasam, Danushen; Ceze, Luis; Grossman, Dan",PLDI '11: Proceedings of the 32nd ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI,C,2011,"Paper proposes EnerJ, an extension to Java both safe and general, that adds approximate and precise data types. Paper also provides endorsements, which are programmer-specified points at which approximate-to-precise data flow may occur. Paper also provides simulations of a runtime and hardware to run this approximate version of Java.","Programming Languages, Hardware/software interfaces, Approximate Programming",Architectural,Agnostic,Design,1,1,0,2,0,0,1,0,1,Academic,,,,,,,,,,,JATIT,2,1,ICSOFT,2,,,,
ZSJ2LGWL,How to measure energy-efficiency of software: Metrics and measurement results,"Johann, Timo; Dick, Markus; Naumann, Stefan; Kern, Eva",2012 First International Workshop on Green and Sustainable Software (GREENS),GREENS,W,2012,"Paper proposes a white box measurement to tell in which part of software there is potential for energy savings. The paper does so by measuring ""useful work/used energy"" that varies between applications.",Measuring,"Design, Code",Agnostic,Verification,0.5,0.5,0,1,0,0,1,0,1,Academic,,,,,,,,,,,GECCO,2,2,ICT4S ,2,22,,,
4KGZLD99,Calculating source line level energy information for android applications,"Li, Ding; Hao, Shuai; Halfond, William GJ; Govindan, Ramesh",ISSTA 2013: Proceedings of the 2013 International Symposium on Software Testing and Analysis,ISSTA,C,2013,Paper proposes a measuring framework that allows for calculating source line level energy information for android applications by using hardware energy models and static analysis.,Measuring,Code,Mobile,Verification,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,Empirical Software Engineering,2,2,<=1,78,,,,
ILXTNC4I,Studying energy trade offs in offloading computation/compilation in java-enabled mobile devices,"Chen, Guangyu; Kang, B.-T.; Kandemir, Mahmut; Vijaykrishnan, Narayanan; Irwin, Mary Jane; Chandramouli, Rajarathnam",IEEE Transactions on Parallel and Distributed Systems,IEEE Transactions on Parallel and Distributed Systems,J,2004,Paper proposes an offloading framework targeting the Java language that dynamically decides whether computations should be performed locally or in the cloud. The framework leverages Java's object serialization feature to allow offloading of both method execution and bytecode-to-native code compilation to the server when executing a Java application.,Computational Offloading,Code,Mobile,Design,1,0.5,0,1.5,0,0,1,0,1,Academic,,,Total,158,40,91,11,1,143,,ICSOFT,2,2,<=2,24,,,,
SPWLZ6BY,Energy efficient software development life cycle-An approach towards smart computing,"Sharma, Sunil Kumar; Gupta, P. K.; Malekian, Reza","2015 IEEE International Conference on Computer Graphics, Vision and Information Security (CGVIS)",CGVIS,C,2015,"Paper proposes embedding every stage of the software development lifecycle with an energy efficiency focus. After each stage, a green analysis is done to ensure that the product from that stage is environmentally friendly.",Software Development Lifecycle,"Architectural, Design, Code",Agnostic,All Stages,-,-,-,-,-,-,-,-,-,Academic,,,SLRs,15,,,,,,,ICT4S ,2,2,>=3,40,,,,
NEG9D9ZD,Analysis of energy consumption and optimization techniques for writing energy-efficient code,"Corral-García, Javier; Lemus-Prieto, Felipe; González-Sánchez, José-Luis; Pérez-Toledano, Miguel-Ángel",Electronics,Electronics,J,2019,"Paper analyzes the authors previous code level recommendations in the C++ language to improve performance, but from an energy efficiency perspective. They recommend several code level implementation details that increase energy efficiency.",Energy efficient code,Code,Agnostic,Implementation,1,1,0.5,2.5,0,0,0,0,0,Academic,,,Extentioned Versions,9,,,,,,,ICIEECT,1,0,Other(<=1 && <=2),102,,,,
3ENRR9HW,Green web services: Modeling and estimating power consumption of web services,"Bartalos, Peter; Blake, M. Brian",2012 IEEE 19th International Conference on Web Services,ICWS,C,2012,Paper proposes a predictive model that can be created at design time but leveraged by service composition systems at runtime. This way web services can use dynamic power estimation information and decision support at runtime.,"Energy aware computing, measuring",Architectural,Cloud,Design,1,0.5,0,1.5,0,0,1,0,1,Academic,,,Papers Extended,9,,,,,,,Wireless Personal Communications,1,1,Total,142,,,,
JL65TSWG,Architectural Tactics for Energy Efficiency: Review of the Literature and Research Roadmap,"Paradis, Carlos; Kazman, Rick; Tamburri, Damian Andrew",Proceedings of the 54th Hawaii International Conference on System Sciences,HICSS ,C,2021,,,,,,,,,,,,,,,,SLR,,,,,,,,,,FSE,1,1,,,,,,
BCGVNHPS,Energy-efficient multisite offloading policy using Markov decision process for mobile cloud computing,"Terefe, Mati B.; Lee, Heezin; Heo, Nojung; Fox, Geoffrey C.; Oh, Sangyoon",Pervasive and Mobile Computing,PMC ,J,2016,"Paper proposes a framework to dynamically offload data intensive and comptation intensive tasks to different cloud servers depending on the energy savings of each server. For example, mobiles can offload the computational intensive modules to a server that is close to the mobile, and data intensive modulea can be offloaded to a server that is close to the database.",Computational Offloading,Architectural,Mobile,Design,0.5,0.5,0,1,0,0,0,0,0,Academic,,,,,,,,,,,EASE,1,1,,,,,,
3DSC22RI,Towards a green ranking for programming languages,"Couto, Marco; Pereira, Rui; Ribeiro, Francisco; Rua, Rui; Saraiva, João",Proceedings of the 21st Brazilian Symposium on Programming Languages,SBLP,C,2017,Paper ranks the energy efficiency of several programming languages and proposes the C language as both the fastest and greenest language.,"Programming Languages, Language Benchmarking",Architectural,Agnostic,Design,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,IJET,1,1,,,,,,
7WF3N24V,A programming environment with runtime energy characterization for energy-aware applications,"Xian, Changjiu; Lu, Yung-Hsiang; Li, Zhiyuan",Proceedings of the 2007 international symposium on Low power electronics and design (ISLPED'07),ISLPED,C,2007,"Paper presents a programming environment to ease the construction of energy-aware applications. Programs in this runtime may use ""options"" which are different ways to achieve desired functionalities and choose the most energy effcient option.","Energy aware application, Programming environment",Architectural,Workstation,"Design, Implementation, Verification",1,1,0,2,0,0,0,0,0,Academic,,,,,,,,,,,CASCON,1,1,,,,,,
HFGU26NT,Software development lifecycle for energy efficiency: techniques and tools,"Georgiou, Stefanos; Rizou, Stamatia; Spinellis, Diomidis",ACM Computing Surveys (CSUR),CSUR,J,2019,,,,,,,,,,,,,,,,SLR,,,,,,,,,,ICAIAME ,1,1,,,,,,
4GW9NRNL,Estimating mobile application energy consumption using program analysis,"Hao, Shuai; Li, Ding; Halfond, William GJ; Govindan, Ramesh",2013 35th international conference on software engineering (ICSE),ICSE,C,2013,Paper proposes a measuring tool that can estimate software energy consumption at the code level. It does so by using both static analysis of the source code and per instruction energy modelling.,"Energy estimation, Program Analysis, Static Analysis",Code,Mobile,Verification,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,International Journal of Parallel Programming,1,1,,,,,,
FPFPKGFR,Unit testing of energy consumption of software libraries,"Noureddine, Adel; Rouvoy, Romain; Seinturier, Lionel",Proceedings of the 29th Annual ACM Symposium on Applied Computing,SAC,C,2014,,,,,,,,,,,,,,,,Extended by WSRMLBPA,,,,,,,,,,BDCloud/SocialCom/SustainCom,1,1,,,,,,
4MWD3GI2,Manageable granularity in mobile application code offloading for energy savings,"Yang, Sirui",2012 IEEE International Conference on Green Computing and Communications,iThings/GreenCom/CPSCom/SmartData,C,2012,Paper proposes an offloading strategy for mobile web browsers which separates an applications code into computational and UI related modules and offloads computational modules to the cloud while running the UI related code locally.,"code offloading, workload partitioning",Architectural,Mobile,Design,1,0.5,0,1.5,0,0,1,0,1,Industrial,,,,,,,,,,,Journal of King Saud University,1,1,,,,,,
32N22PF9,"Software-based energy profiling of android apps: Simple, efficient and reliable?","Di Nucci, Dario; Palomba, Fabio; Prota, Antonio; Panichella, Annibale; Zaidman, Andy; De Lucia, Andrea","2017 IEEE 24th international conference on software analysis, evolution and reengineering (SANER)",SANER,C,2017,"Paper investigates the accuracy difference between hardware and software energy consumption measuring tools. They propose a measuring software called Petra, for Android OS that measures energy consumption at the method level.","Estimation, Software Based Measurements, Testing",Code,Mobile,"Implementation, Verification",1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,IEEE Transactions on Parallel and Distributed Systems,1,1,,,,,,
AWARRYWE,Evaluating the Impact of Java Virtual Machines on Energy Consumption,"Ournani, Zakaria; Belgaid, Mohammed Chakib; Rouvoy, Romain; Rust, Pierre; Penhoat, Joel",Proceedings of the 15th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),ESEM,C,2021,"Paper evaluates different JVM versions and configurations (garbage collector, multithreading, JIT) and makes recommendations on choosing the best JVM for energy efficiency. It also proposes an open source application that recommends the best JVM distribution and configuration based on an application. Paper also provides guidelines on how to best configure the JVM environment for energy efficiency.","Runtime environments, environment configuration",Architectural,Agnostic,Design,1,1,0.5,2.5,0,0,1,0,1,Mixed,,,,,,,,,,,CGVIS,1,1,,,,,,
WHU8YABA,Green configurations of functional quality attributes,"Horcas, Jose-Miguel; Pinto, Mónica; Fuentes, Lidia",Proceedings of the 21st International Systems and Software Product Line Conference-Volume A,SPLC,C,2017,,,,,,,,,,,,,,,,Extended by 8Z4FJ9KZ,,,,,,,,,,ICWS,1,1,,,,,,
JRTZZRR6,Environmental Sustainability Coding Techniques for Cloud Computing,"Ahmed, Shakeel",International Journal of Advanced Computer Science and Applications (IJACSA),IJACSA,J,2020,Paper porposes to add a parameterized development phase to enhance the energy efficiency of cloud application software. The parameterized phase provides guidelines and appropriate methodologies for developers to increase the energy efficiency of software at the implementation phase.,"SDLC, Parametized Phase","Architectural, Design, Code",Cloud,"Design, Implementation",0.5,0.5,0,1,0,0,0,0,0,Academic,,,,,,,,,,,HICSS ,1,0,,,,,,
MVFWKW7Q,A process for analysing the energy efficiency of software,"Mancebo, Javier; García, Félix; Calero, Coral",Information and Software Technology,Information and Software Technology,J,2021,Paper proposes a specific process and guidelines to perform a case study to measure the energy efficient of a software system that integrates all the activities necessary to measure and analyse the energy consumption of the software evaluated.,"Software consumption measurement, energy consumption measurement process",Architectural,Agnostic,Verification,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,SBLP,1,1,,,,,,
WHTE3NZ8,Optimization in power usage of smartphones,"Naik, Balaji A.; Chavan, R. K.",International Journal of Computer Applications,IJCA,J,2015,,,,,,,,,,,,,,,,SLR,,,,,,,,,,ISLPED,1,1,,,,,,
PCMY4PCB,Code Smell Refactoring for Energy Optimization of Android Apps,"Sehgal, Rajni; Mehrotra, Deepti; Nagpal, Renuka; Choudhury, Tanupriya",Innovations in Cyber Physical Systems,Innovations in Cyber Physical Systems,C,2021,"Paper proposes to refactor god class first, then feature envy, and at last, long method to increase the energy consumption of applications that have a medium impact on energy consumption.",Refactoring,"Design, Code",Mobile,Maintenance,1,0.5,0,1.5,0,0,1,0,1,Academic,,,,,,,,,,,SAC,1,1,,,,,,
7EBBEQTC,Automated re-factoring of android apps to enhance energy-efficiency,"Banerjee, Abhijeet; Roychoudhury, Abhik",Proceedings of the International Conference on Mobile Software Engineering and Systems,MOBILESoft,C,2016,"Paper proposes re-factoring technique that can assist in energyaware app development. Their technique relies on a set of energy efficiency guidelines that encodes the optimal usage of energy intensive hardware resources in an app. To do this, the framework generates an intermediate, succinct representation of the app which contains only the most important information for the application. The framework also generates a defect expression but presents the negation of an energy-efficiency guideline, basically what the app has to do to waste energy. A non-empty intersection between design-expression and defect-expression indicates violation of the energy-efficiency guideline that is associated with the defect-expression.","Refactoring, Static Analysis ",Design,Mobile,Maintenance,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,ESEM,1,1,,,,,,
NPP5P5MB,${$AppScope$}$: Application Energy Metering Framework for Android Smartphone Using Kernel Activity Monitoring,"Yoon, Chanmin; Kim, Dongwon; Jung, Wonwoo; Kang, Chulkoo; Cha, Hojung",2012 USENIX Annual Technical Conference (USENIX ATC 12),USENIX ATC,C,2012,"Paper proposes AppScope, a measuring tool for Android mobile phones that measure the energy consumption of hardware components of the phone used by the application.","System Call Measuring, Hardware Usage by Application",Architectural,Mobile,Verification,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,SPLC,1,1,,,,,,
WD2TZU2M,Early analysis of resource consumption patterns in mobile applications,"Berrocal, Javier; Garcia-Alonso, Jose; Vicente-Chicote, Cristina; Hernández, Juan; Mikkonen, Tommi; Canal, Carlos; Murillo, Juan M.",Pervasive and Mobile Computing,PMC ,J,2017,"Paper proposes a conceptual framework to estimate the energy efficiency of a mobile application before implementing it, aiding developers during the architectural decision process. It does so by identifying the commonest operations of these architectures and measuring their energy consumption. The most common functionalities of an app can be composed of these primitive operations and their energy consumption can be extrapolated through them.","Resource estimation, architectural decision framework",Architectural,Mobile,Design,0.5,1,0,1.5,0,0,0,0,0,Academic,,,,,,,,,,,IJACSA,1,1,,,,,,
74BQMM6L,Knowledge for a longer life: development impetus for energy-efficient smartphone applications,"Hans, Ronny; Burgstahler, Daniel; Mueller, Alexander; Zahn, Manuel; Stingl, Dominik",2015 IEEE International Conference on Mobile Services,MS,C,2015,,,,,,,,,,,,,,,,SLR,,,,,,,,,,IJCA,1,0,,,,,,
DNVP696E,A review of energy measurement approaches,"Noureddine, Adel; Rouvoy, Romain; Seinturier, Lionel",ACM SIGOPS Operating Systems Review,SIGOPS,J,2013,,,,,,,,,,,,,,,,SLR,,,,,,,,,,Innovations in Cyber Physical Systems,1,1,,,,,,
MY8FDDML,Removing Decorator to Improve Energy Efficiency,"Bree, Déaglán Connolly; Cinnéide, Mel Ó","2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",SANER,C,2022,Paper proposes to eliminate the decorator design pattern to improve the energy consumption of Java applications,"Refactoring, Software Design",Design,Agnostic,Maintenance,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,USENIX ATC,1,1,,,,,,
WJWP6D4S,Understanding green software development: A conceptual framework,"Ardito, Luca; Procaccianti, Giuseppe; Torchiano, Marco; Vetro, Antonio",IT Professional,IT Professional,J,2015,Paper proposes a conceptual framework that provides an high-level view over the possible strategies for developing energy efficient software. It proposes a design strategy to implement different techniques of energy efficient software such as refactoring or energy aware computing (between others) together with measuring of the strategies.,"Software Design, SDLC",Architectural,Agnostic,"Design, Implementation, Verification",-,-,-,-,-,-,-,-,-,Academic,,,,,,,,,,,SIGOPS,1,0,,,,,,
X4C8FVY7,Predicting data structures for energy efficient computing,"Michanan, Junya; Dewri, Rinku; Rutherford, Matthew J.",2015 Sixth International Green and Sustainable Computing Conference (IGSC),IGSC,C,2015,"Paper explores how different implementations of the same interface affect the energy efficiency of application software, the paper adapts these classes through machine learning tools to make them energy aware, so that the classes can dynamically adapt to produce the optimal energy efficiency.","Machine Learning, Green Data Structures",Code,Agnostic,Implementation,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,IEEE Energytech,1,1,,,,,,
BAEDN8AK,Automated energy optimization of http requests for mobile applications,"Li, Ding; Lyu, Yingjun; Gui, Jiaping; Halfond, William GJ",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),ICSE,C,2016,"Paper proposes to bundle HTTP requests in mobile applications to save energy. They do this by performing static analysis on the applicaiton code to find bundable requests, then they perform string analysis on to identify relations between bundles, and configure a set of bundling rules, and then to use a proxy server at runtime that automatically detects the start of a series of bundable HTTP requests and performs the optimizations.","HTTP Request Bundling, Static Code Analysis, Code Optimization",Code,Mobile,Implementation,1,1,1,3,0,0,1,0,1,Academic,,,,,,,,,,,ICSOC,1,1,,,,,,
